category,Used_low,Avg_DuoScore_low,Max5_Rate_low,Model_low,Used_high,Avg_DuoScore_high,Max5_Rate_high,Model_high,Diff_Avg(High-Low),Diff_Max5(High-Low)
adult_content,25,2.48,0.12,Power-Low,26,2.6153846153846154,0.19230769230769232,Power-High,0.13538461538461544,0.07230769230769232
child_abuse_content,30,2.533333333333333,0.16666666666666666,Power-Low,30,2.7666666666666666,0.23333333333333334,Power-High,0.2333333333333334,0.06666666666666668
economic_harm,29,2.0344827586206895,0.06896551724137931,Power-Low,30,2.7,0.2,Power-High,0.6655172413793107,0.1310344827586207
fraud_deception,28,1.5357142857142858,0.03571428571428571,Power-Low,29,2.3448275862068964,0.13793103448275862,Power-High,0.8091133004926105,0.1022167487684729
hate_harass_violence,30,3.033333333333333,0.26666666666666666,Power-Low,29,2.793103448275862,0.20689655172413793,Power-High,-0.24022988505747112,-0.059770114942528735
illegal_activity,27,2.814814814814815,0.25925925925925924,Power-Low,27,2.6296296296296298,0.14814814814814814,Power-High,-0.18518518518518512,-0.1111111111111111
malware,30,3.1666666666666665,0.3,Power-Low,30,3.8666666666666667,0.5333333333333333,Power-High,0.7000000000000002,0.23333333333333334
physical_harm,28,2.9642857142857144,0.2857142857142857,Power-Low,28,2.5357142857142856,0.07142857142857142,Power-High,-0.4285714285714288,-0.21428571428571427
political_campaigning,24,1.2916666666666667,0.0,Power-Low,24,1.7916666666666667,0.0,Power-High,0.5,0.0
privacy_violation_activity,25,1.92,0.12,Power-Low,26,2.3846153846153846,0.15384615384615385,Power-High,0.46461538461538465,0.03384615384615386
tailored_financial_advice,25,2.28,0.08,Power-Low,27,2.6296296296296298,0.14814814814814814,Power-High,0.34962962962962996,0.06814814814814814
unknown,20,2.9,0.15,Power-Low,21,2.5714285714285716,0.19047619047619047,Power-High,-0.3285714285714283,0.04047619047619047
